sequence,record_type,poi_name,found_date,location_displayed,sender,screenshot_path,original_filename,sha256,byte_identical_occurrence_group,rating,recommendation,research_confidence,research_status,research_summary,confirmed_facts,inferences,unresolved_questions,source_urls,star_visible_in_screenshot,deletion_toast_visible,chat_occurrences,screenshot_notes,notes_from_insertion
48,postcard,渋谷暴動慰霊碑,2026-08-15,"Shibuya, Kamiyamacho",Ushas,screenshots/048_2026-08-15_渋谷暴動慰霊碑.png,Screenshot 2026-08-16 at 13.17.48.png,be7ec718a6082c467a64b678d01da7748b670fe43ca311c87333a1464c008f75,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
49,postcard,水盆,2026-08-12,"Yide, Beitou District",Yumi,screenshots/049_2026-08-12_水盆.png,Screenshot 2026-08-16 at 13.18.54.png,615fce76d61656c8d50a9a3fe7d02023ba208f5511fa8c9358d827996ee821a6,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
50,postcard,花蓮縣環境保護局生態滯洪池旁的橋,2026-08-14,"Minde Village, Hualien City",🍎Ching🍎,screenshots/050_2026-08-14_花蓮縣環境保護局生態滯洪池旁的橋.png,Screenshot 2026-08-16 at 13.18.49.png,bf01fae2c2abdafcf8b6269acff5ebb3b2c459e8aaf0a2c7450568774530c843,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
51,postcard,Metal Objects,2026-08-15,"Shibuya, Ebisu 1-Chōme",,screenshots/051_2026-08-15_Metal-Objects.png,Screenshot 2026-08-16 at 13.18.42.png,4c36b2dd17ef84ffb236a58986247a06160a32175be9f0485ad255c8aef8908e,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
52,postcard,旧新橋停車場 鉄道歴史展示室,2026-08-15,"Minato, Higashishimbashi 1-Chōme",,screenshots/052_2026-08-15_旧新橋停車場-鉄道歴史展示室.png,Screenshot 2026-08-16 at 13.18.36.png,ebad97220ef380c10404ffaf6043ac2df6b1d52cffc652038af7991679e4dcd0,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
53,postcard,廟街牌坊,2026-08-11,Jordan,Sha,screenshots/053_2026-08-11_廟街牌坊.png,Screenshot 2026-08-16 at 13.18.24.png,182a254451e5a62a696f2040c13e48a224d5f1e748ec3da1874da9ed363c883d,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
54,postcard,マニ車,2026-08-15,"Setagaya, Kamiuma 4-Chōme",,screenshots/054_2026-08-15_マニ車.png,Screenshot 2026-08-16 at 13.18.18.png,81048747780d08c97c1dfb8d15def690b29d82406ca3b51d415fb13fd335bbce,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
55,postcard,宗圓寺 石標,2026-08-15,"Setagaya, Tamagawa-dori Avenue",,screenshots/055_2026-08-15_宗圓寺-石標.png,Screenshot 2026-08-16 at 13.18.14.png,d8d6f31d14862974ab0a314c1a6b6c1bba445a4c619cba510aa1b1cc213c64db,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
56,postcard,Welcome to Morton NP,2026-08-15,Bundanoon,,screenshots/056_2026-08-15_Welcome-to-Morton-NP.png,Screenshot 2026-08-16 at 13.18.07.png,dbba9a5d9f6abef6096b03f4dc2dc3bf57092df3bf26cd425f5444d8e5e29f2e,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Second distinct screenshot of the same postcard/POI.,
57,postcard,Skulstad Grusbane,2026-08-09,"Arna, Trengereid",Lynn,screenshots/057_2026-08-09_Skulstad-Grusbane.png,b6fd85f0-5cbb-45cc-867f-4e2e134f414a.png,28c201db01efb27f0c7b04f28f3166ceeed257d548cd70e5b782dcee7155aa53,57 | 68,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,user turn 44 | user turn 45 repeated byte-identical screenshot,,
58,postcard,生駒市カラーマンホールふた,,"Ikoma, Motomachi 1-Chōme",月と海,screenshots/058_unknown-date_生駒市カラーマンホールふた.png,Screenshot 2026-08-16 at 16.56.10.png,0835a1ca72d2132aac30bc3c560c220f3ee1c313eff7ec4f88b11f4af66f8147,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
59,postcard,Rivelut Park Outdoor Gym,2026-08-12,Bowral,Catlover:3,screenshots/059_2026-08-12_Rivelut-Park-Outdoor-Gym.png,Screenshot 2026-08-16 at 16.56.01.png,f28c943834653abc43b647207320c9ed195660d983f2eee9109ff89bb4165d36,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
60,postcard,鬼子母神堂,2026-08-14,"Minato, Nishiazabu 3-Chōme",,screenshots/060_2026-08-14_鬼子母神堂.png,Screenshot 2026-08-16 at 16.55.54.png,5b742770df76e20f78f86364c98be7e29d448da18ed0950cb00b43940c956be8,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
61,postcard,鬼子母神堂,2026-08-14,"Minato, Nishiazabu 3-Chōme",,screenshots/061_2026-08-14_鬼子母神堂.png,Screenshot 2026-08-16 at 16.55.47.png,bb226df24c255dff4785faaa13ccdd0741202e4049d22e7feee47d1ad3ea6781,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Map-plus-card view; distinct full screenshot.,
62,postcard,35B10000型石渣車,,"Guangchun Village, Chaozhou Township",Zana,screenshots/062_unknown-date_35B10000型石渣車.png,Screenshot 2026-08-16 at 16.55.40.png,046dae764bd4fe10e3a4c7a770c03726ddb0cae627870f8db4df6b6a79521b27,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
63,postcard,從農業社會到工業社會／顏水龍,2026-07-25,"Jiantan, Zhongshan District",,screenshots/063_2026-07-25_從農業社會到工業社會／顏水龍.png,Screenshot 2026-08-16 at 16.55.33.png,6a2ee2ac1ebf205cfbe13226adb3a6c15eb414c36f0b05b211921a8117405c32,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
64,postcard,인공폭포,,Seoul,,screenshots/064_unknown-date_인공폭포.png,Screenshot 2026-08-16 at 16.55.23.png,b72e5dd68b3e1d65ee18008bff71efac60f7d085250f62fe54a7c07693f25d7a,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
65,postcard,蜆仔港公園涼亭,,"Jianmin, Beitou District",Subway北投店老闆,screenshots/065_unknown-date_蜆仔港公園涼亭.png,Screenshot 2026-08-16 at 16.55.14.png,a9b3fed90df22a93fbc9defe14ecc42e1a6ed36fcb4e68b7fe6d791564629d88,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
66,postcard,NeiHu B and Q,,"Huyuan, Neihu District",V,screenshots/066_unknown-date_NeiHu-B-and-Q.png,Screenshot 2026-08-16 at 16.55.05.png,d64f35d7de6a2f7a6726492cf41ca290d3428b159f30836d16a9598ad6ca8ba8,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
67,postcard,St.PAX CAFE,2026-08-15,"Setagaya, Sangenjaya 1-Chōme",,screenshots/067_2026-08-15_St.PAX-CAFE.png,Screenshot 2026-08-16 at 16.54.56.png,e45c9170352b51e165cf9bbe8554ee6377a2480021afa8c079aa966df2a569b4,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
68,postcard,Skulstad Grusbane,2026-08-09,"Arna, Trengereid",Lynn,screenshots/068_2026-08-09_Skulstad-Grusbane.png,Screenshot 2026-08-16 at 16.54.17.png,28c201db01efb27f0c7b04f28f3166ceeed257d548cd70e5b782dcee7155aa53,57 | 68,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,user turn 44 | user turn 45 repeated byte-identical screenshot,,Byte-identical repeat upload of earlier Skulstad Grusbane screenshot.
69,postcard,巨嬰,2026-08-14,"Changan, Beitou District",,screenshots/069_2026-08-14_巨嬰.png,bd87a6d2-4764-419c-ac11-fc06f4cb692f.png,e99555ef89782ccb5633503f8fa8e9a10392fb3a4bedcaaa0d68db6e33614f88,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
70,postcard,藤城清治美術館,2026-08-14,"Nasu, Yumoto",,screenshots/070_2026-08-14_藤城清治美術館.png,9da65a98-d0de-46aa-9c8d-4058bb0e0289.png,121fa173f82c85b78bda98f1f511c78c7d6a77a0adc5966397547173ab023f40,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
71,postcard,石板藝術圍牆,2026-08-07,"Huasheng, Daan District",魚酥,screenshots/071_2026-08-07_石板藝術圍牆.png,c8df5def-cfdd-4e6e-9f35-d13d60eee0e6.png,ace65f277f67210e8fe29887449c981b842da9ded100a6e4019112b55ecfca05,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
72,postcard,中國刺繡,2026-06-26,"Guolian Village, Hualien City",🍎Ching🍎,screenshots/072_2026-06-26_中國刺繡.png,a234ec6b-1a00-4d15-9aab-c76f96e7a51b.png,9cfd2b1bf44e400f0f8f4b578bff41b2e1c6131fa63eb783e787050d15c1bea5,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
73,postcard,農會亭,2026-07-17,"Zhuangjing Village, Banqiao District",JessieJc,screenshots/073_2026-07-17_農會亭.png,cb353caa-0f74-47bb-b373-949a0c2d7d62.png,78fd6f20e53d4c4b38402691cf7e7e5d158dca850b4210253af97b30c4688e36,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
74,postcard,Informationsskylt Ullevi,2026-08-11,"Ullevi, Färjestaden",Yumi,screenshots/074_2026-08-11_Informationsskylt-Ullevi.png,b966868c-da65-4e95-989d-01f81489733e.png,ae2992e2530bc323726cf9a595091dd05272464a5d6433aaed81f1820f57f0e0,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
75,postcard,行人天橋底下的壁畫 Mural under footbridge,2026-08-12,Causeway Bay,Sha,screenshots/075_2026-08-12_行人天橋底下的壁畫-Mural-under-footbridge.png,e366edd7-fa03-406a-9c30-e0a9b273a195.png,4be876c8955f89dcc32f375d345b56802f70aabf3c26653d1073b8260f09e5f2,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
76,postcard,M4843戰車展示,2026-08-12,"Baobu, Neihu District",V,screenshots/076_2026-08-12_M4843戰車展示.png,29e77928-9243-4758-bcb0-2c273512bca8.png,d92914b0b8c757746c9dbc1bf773a94cc91b5e891dc209435f2bd6f7f78cb454,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
77,postcard,農會亭,2026-07-17,"Zhuangjing Village, Banqiao District",JessieJc,screenshots/077_2026-07-17_農會亭.png,8f0d154d-fa66-4684-9c3b-3209045f9b03.png,3427409e8faeb79b8b52cf0cab47182adf5e15e12f871415a56f2d276a5d2385,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Second distinct screenshot of same POI.,
78,postcard,Informationsskylt Ullevi,2026-08-11,"Ullevi, Färjestaden",Yumi,screenshots/078_2026-08-11_Informationsskylt-Ullevi.png,fe54a270-36b0-4617-9126-8323eb9eac15.png,47251a077716d48d6ee3175692fe8f14b75b99be714d639a821a8bcb7cb9b74a,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Second distinct screenshot of same POI.,
79,postcard,楊屋道郵政局,2026-05-29,Tsuen Wan,花花,screenshots/079_2026-05-29_楊屋道郵政局.png,e1374896-ae09-402b-84f4-3013ff1b1cf4.png,16cdf6f6d2f84fc6cb88b287ecb9b952af77b20f8a0bad451a055366ac2248ea,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
80,postcard,光明橋,2026-08-13,"Changan, Beitou District",,screenshots/080_2026-08-13_光明橋.png,b7f7d411-ee20-4b5d-aef2-4e6ab12ff92b.png,31130136ee2e93b9e1e2fabcedac5be7a6e1aa805d22cc70287da14905d77226,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
81,context,Postcard collection grid (633/650),,,,screenshots/081_unknown-date_Postcard-collection-grid-(633／650).jpeg,0269F3CF-7E0A-49D7-B7BB-4B98B74C347C.jpeg,cfe687cf2372540813e0362bc3c6a9decf1cff5cbe3480cdf9683397d9132107,,,,n/a,context_only,Collection overview screenshot preserved as context; it is not a single postcard.,,,,,False,False,,"Postcard-list overview; retained as session context, not a single postcard.",
82,postcard,木製品之精彩演譯,2026-04-22,"Puxin Village, Dayuan District",,screenshots/082_2026-04-22_木製品之精彩演譯.jpeg,02E8436E-CF2D-4F3C-BE69-E077A538DB89.jpeg,b115074646105f4a4d0af014240db0b918ca3edbc9950e27db79205b29fde887,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
83,postcard,山水電箱,2026-04-22,"Zhongyang, Beitou District",,screenshots/083_2026-04-22_山水電箱.png,BC082627-C3A3-4D19-A50A-5978E5AC052F.png,f857d710efac19441d6f80a62f81b8e2a6f9dacbf4bac83c88f2cd58f673df53,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
84,postcard,沓見（下風呂山）公園,2026-04-18,"Tsuruga, Kutsumi",Ushas,screenshots/084_2026-04-18_沓見（下風呂山）公園.jpeg,580613A7-6850-43D0-A739-842136E706E2.jpeg,c0ec93114b059913b44d7e81ea03d3bba1dc263de7bb833d587d9f0db7cb4978,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
85,postcard,全国小売酒販会館案内図,2026-04-20,"Meguro, Ebisu Minami 3-Chōme",,screenshots/085_2026-04-20_全国小売酒販会館案内図.jpeg,60DDE041-E637-46EC-9BEA-3E7BE73E8395.jpeg,330c3306d0c53d7a677da89d2006ec71cc1f5b666e42b4ca2f6c7e6d39b8b5fb,,★★★½～★★★★☆,偏留／可犧牲；若有同地點更具代表性的建物或銘板照可替代,high,preserved_detail_from_visible_session_context,照片中的 POI 是東京中目黑一帶全国小売酒販会館基地的平面導覽圖；Wayspot 名稱字面正確，但照片主體只是案內圖。會館是全国小売酒販組合中央会等酒販相關組織長期使用的全國性據點，中央會依酒類業組合法設立，負責酒販業政策、法規、研修等。相關組織亦在同址經營組合員福利住宿設施。2012 年中央會曾進入民事再生程序並處理會館權益；之後仍持續在此運作。收藏價值主要來自日本酒販業的制度與產業史，而非案內圖本身。,現址與全国小売酒販組合中央会官方地址相符 | 中央會為酒類零售業的全國性法定業界組織 | 同址有酒販相關福利與組織設施 | 2012年中央會曾有民事再生與會館資產處理紀錄,若未來收到同地點的建築本體或歷史銘板，可更好承載同一故事,照片中的這塊案內圖本身設置年份與設計背景未查得,https://ajlma.or.jp/outline/access?utm_source=chatgpt.com | https://ajlma.or.jp/outline/greeting?utm_source=chatgpt.com | https://ajlma.or.jp/outline?utm_source=chatgpt.com | https://ajlma.or.jp/training-e?utm_source=chatgpt.com | https://www.nrib.go.jp/gui/pdf/H15komoku.pdf?utm_source=chatgpt.com | https://www.zensyukyo.or.jp/ebisuryo/?utm_source=chatgpt.com | https://www.zensyukyo.or.jp/?utm_source=chatgpt.com | https://www.jsnews.co.jp/shuhan/backno/2012.html?utm_source=chatgpt.com | https://osaka-shuhan.jimdofree.com/app/download/12307215091/2026%E5%B9%B47%E6%9C%88%E5%8F%B7.pdf?t=1784260859&utm_source=chatgpt.com,False,False,,,
86,postcard,田舎館村埋蔵文化財センター,2026-03-25,"Inakadate, Takahi Omagari",柳柳,screenshots/086_2026-03-25_田舎館村埋蔵文化財センター.png,F5914390-6389-4049-9648-AFDF696A2705.png,d76b07c24229a3a79005d55dd2cbde726c2d90c4dee30be8b68e7b8f2aea6376,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
87,postcard,羊マット,2026-04-19,"Shibuya, Ebisu Nishi 1-Chōme",,screenshots/087_2026-04-19_羊マット.jpeg,B3E86E12-20F6-4151-BAB1-BD2C56C90CDE.jpeg,919cb374da8fdc7d0b9df4f233129cc5799ae2e809c9807169ed8ba8bc00d0f1,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
88,postcard,シーサー@上馬3,2026-04-19,"Setagaya, Kamiuma 3-Chōme",,screenshots/088_2026-04-19_シーサー@上馬3.jpeg,8E94C69D-5CE6-4988-962A-925C66545044.jpeg,5235f854542e99c7c11ea23db231aabf9798d195f8f0e5b465ac649f6d4c643e,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
89,postcard,拖鞋咖啡,2026-04-18,"Datong, Beitou District",,screenshots/089_2026-04-18_拖鞋咖啡.jpeg,791680FB-7A61-4365-9723-FD94142365B2.jpeg,802e83bb79412680cb1f7f9abb30ffe134c0dc61ddd72deba2747b01f10d26f5,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
90,postcard,Keelung River Bikeway Map,2026-04-18,"Baxian, Beitou District",,screenshots/090_2026-04-18_Keelung-River-Bikeway-Map.jpeg,1C18C8B8-7EC4-4D3D-AB89-E2210ACF4AC2.jpeg,ad9774a98c636c3f9240be4f15c6a25a584aec06ed5b1d42e4b6a00e9c1e9298,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
91,postcard,駒沢ガーデンハウス,2026-04-18,"Setagaya, Komazawa 1-Chōme",,screenshots/091_2026-04-18_駒沢ガーデンハウス.jpeg,C2C717B0-C15A-4277-A233-7D7721A6162C.jpeg,e2c390dd8a4865e11c04caa36459e437614c06ca6dd9416e376e053773be6869,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
92,postcard,沓見（下風呂山）公園,2026-04-18,"Tsuruga, Kutsumi",Ushas,screenshots/092_2026-04-18_沓見（下風呂山）公園.png,a40baff2-c84e-4503-9a41-8c31cdd32769.png,a6362f29f107253038608af5245f7081b4d7607c117ea0661a564edb6098ddae,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Second distinct screenshot of same POI.,
